Gene,B cells,Cytotoxic T cells,CD4 T cells,Tfh,other
RP11-34P13.3,1,1,1,1,1
FAM138A,1,1,1,1,1
OR4F5,1,1,1,1,1
RP11-34P13.7,1,1,1,1,1
RP11-34P13.8,1,1,1,1,1
RP11-34P13.14,1,1,1,1,1
RP11-34P13.9,1,1,1,1,1
FO538757.3,1,1,1,1,1
FO538757.2,1,1,1,1,1
AP116222.2,1,1,1,1,1
RP5-857K21.15,1,1,1,1,1
RP4-669L17.2,1,1,1,1,1
RP4-669L17.11,1,1,1,1,1
OR4F29,1,1,1,1,1
RP5-857K21.4,1,1,1,1,1
RP5-857K21.2,1,1,1,1,1
OR4F16,1,1,1,1,1
RP11-216L11.4,1,1,1,1,1
RP11-216L11.9,1,1,1,1,1
FAM87B,1,1,1,1,1
LINC11115,1,1,1,1,1
FAM41C,1,1,1,1,1
RP11-54O7.16,1,1,1,1,1
RP11-54O7.1,1,1,1,1,1
RP11-54O7.2,1,1,1,1,1
RP11-54O7.3,1,1,1,1,1
SAMD11,1,1,1,1,1
NOC2L,1,1,1,1,1
KLHL17,1,1,1,1,1
PLEKHN1,1,1,1,1,1
PERM1,1,1,1,1,1
RP11-54O7.17,1,1,1,1,1
HES4,1,1,1,1,1
ISG15,1,1,1,1,1
RP11-54O7.11,1,1,1,1,1
AGRN,1,1,1,1,1
RP11-54O7.18,1,1,1,1,1
RNF223,1,1,1,1,1
C1orf159,1,1,1,1,1
LINC11342,1,1,1,1,1
RP11-465B22.8,1,1,1,1,1
TTLL11-AS1,1,1,1,1,1
TTLL11,1,1,1,1,1
TNFRSF18,1,1,1,1,1
TNFRSF4,1,1,1,1,1
SDF4,1,1,1,1,1
B3GALT6,1,1,1,1,1
FAM132A,1,1,1,1,1
RP5-912P8.12,1,1,1,1,1
UBE2J2,1,1,1,1,1
RP5-912P8.11,1,1,1,1,1
SCNN1D,1,1,1,1,1
ACAP3,1,1,1,1,1
PUSL1,1,1,1,1,1
CPSF3L,1,1,1,1,1
CPTP,1,1,1,1,1
TAS1R3,1,1,1,1,1
DVL1,1,1,1,1,1
MXRA8,1,1,1,1,1
AURKAIP1,1,1,1,1,1
CCNL2,1,1,1,1,1
MRPL21,1,1,1,1,1
RP4-758J18.13,1,1,1,1,1
ANKRD65,1,1,1,1,1
RP4-758J18.7,1,1,1,1,1
TMEM88B,1,1,1,1,1
RP4-758J18.11,1,1,1,1,1
VWA1,1,1,1,1,1
ATAD3C,1,1,1,1,1
ATAD3B,1,1,1,1,1
ATAD3A,1,1,1,1,1
TMEM241,1,1,1,1,1
SSU72,1,1,1,1,1
RP5-832C2.5,1,1,1,1,1
AL645728.1,1,1,1,1,1
C1orf233,1,1,1,1,1
RP11-345P4.9,1,1,1,1,1
MIB2,1,1,1,1,1
MMP23B,1,1,1,1,1
CDK11B,1,1,1,1,1
RP11-345P4.11,1,1,1,1,1
SLC35E2B,1,1,1,1,1
RP11-345P4.7,1,1,1,1,1
CDK11A,1,1,1,1,1
SLC35E2,1,1,1,1,1
NADK,1,1,1,1,1
GNB1,1,1,1,1,1
RP1-141A9.1,1,1,1,1,1
CALML6,1,1,1,1,1
TMEM52,1,1,1,1,1
CFAP74,1,1,1,1,1
RP11-547D24.1,1,1,1,1,1
GABRD,1,1,1,1,1
RP11-547D24.3,1,1,1,1,1
PRKCZ,1,1,1,1,1
RP5-892K4.1,1,1,1,1,1
RP11-181G12.2,1,1,1,1,1
FAAP21,1,1,1,1,1
RP11-181G12.4,1,1,1,1,1
SKI,1,1,1,1,1
MORN1,1,1,1,1,1
RER1,1,1,1,1,1
PEX11,1,1,1,1,1
PLCH2,1,1,1,1,1
RP3-395M21.2,1,1,1,1,1
RP3-395M21.3,1,1,1,1,1
PANK4,1,1,1,1,1
HES5,1,1,1,1,1
RP3-395M21.12,1,1,1,1,1
RP3-395M21.8,1,1,1,1,1
TNFRSF14,1,1,1,1,1
RP3-395M21.9,1,1,1,1,1
FAM213B,1,1,1,1,1
MMEL1,1,1,1,1,1
RP13-436F16.1,1,1,1,1,1
TTC34,1,1,1,1,1
RP11-741P5.2,1,1,1,1,1
RP11-741P5.3,1,1,1,1,1
ACTRT2,1,1,1,1,1
LINC11982,1,1,1,1,1
PRDM16,1,1,1,1,1
RP1-163G9.2,1,1,1,1,1
RP11-22L13.1,1,1,1,1,1
ARHGEF16,1,1,1,1,1
RP11-168F9.2,1,1,1,1,1
MEGF6,1,1,1,1,1
RP11-46F15.2,1,1,1,1,1
TPRG1L,1,1,1,1,1
WRAP73,1,1,1,1,1
TP73,1,1,1,1,1
RP5-1192A11.5,1,1,1,1,1
RP5-1192A11.2,1,1,1,1,1
TP73-AS1,1,1,1,1,1
CCDC27,1,1,1,1,1
SMIM1,1,1,1,1,1
LRRC47,1,1,1,1,1
RP1-286D6.5,1,1,1,1,1
CEP114,1,1,1,1,1
DFFB,1,1,1,1,1
C1orf174,1,1,1,1,1
LINC11134,1,1,1,1,1
LINC11346,1,1,1,1,1
RP13-614K11.2,1,1,1,1,1
RP5-1166F11.1,1,1,1,1,1
RP1-37J18.1,1,1,1,1,1
RP1-37J18.2,1,1,1,1,1
AJAP1,1,1,1,1,1
RP11-542C11.1,1,1,1,1,1
RP1-58B11.1,1,1,1,1,1
RP11-154H17.1,1,1,1,1,1
NPHP4,1,1,1,1,1
KCNAB2,1,1,1,1,1
CHD5,1,1,1,1,1
RPL22,1,1,1,1,1
RP1-121G22.11,1,1,1,1,1
RNF217,1,1,1,1,1
ICMT,1,1,1,1,1
LINC11337,1,1,1,1,1
HES3,1,1,1,1,1
GPR153,1,1,1,1,1
ACOT7,1,1,1,1,1
RP1-212O8.3,1,1,1,1,1
HES2,1,1,1,1,1
ESPN,1,1,1,1,1
RP1-212O8.2,1,1,1,1,1
TNFRSF25,1,1,1,1,1
PLEKHG5,1,1,1,1,1
NOL9,1,1,1,1,1
TAS1R1,1,1,1,1,1
ZBTB48,1,1,1,1,1
KLHL21,1,1,1,1,1
PHF13,1,1,1,1,1
THAP3,1,1,1,1,1
DNAJC11,1,1,1,1,1
RP11-242F24.1,1,1,1,1,1
RP11-312B8.1,1,1,1,1,1
CAMTA1,1,1,1,1,1
RP11-334N17.1,1,1,1,1,1
RP3-453P22.2,1,1,1,1,1
RP4-549F15.1,1,1,1,1,1
RP11-338N11.1,1,1,1,1,1
RP11-338N11.2,1,1,1,1,1
RP11-338N11.3,1,1,1,1,1
VAMP3,1,1,1,1,1
PER3,1,1,1,1,1
RP3-467L1.4,1,1,1,1,1
UTS2,1,1,1,1,1
TNFRSF9,1,1,1,1,1
PARK7,1,1,1,1,1
ERRFI1,1,1,1,1,1
RP11-431K24.1,1,1,1,1,1
RP11-431K24.3,1,1,1,1,1
RP11-431K24.4,1,1,1,1,1
SLC45A1,1,1,1,1,1
RERE,1,1,1,1,1
RP5-1115A15.1,1,1,1,1,1
RP4-633I8.4,1,1,1,1,1
ENO1,1,1,1,1,1
ENO1-AS1,1,1,1,1,1
CA6,1,1,1,1,1
SLC2A7,1,1,1,1,1
SLC2A5,1,1,1,1,1
GPR157,1,1,1,1,1
MIR34AHG,1,1,1,1,1
RP3-511D11.2,1,1,1,1,1
RP3-511D11.4,1,1,1,1,1
H6PD,1,1,1,1,1
SPSB1,1,1,1,1,1
RP13-392I16.1,1,1,1,1,1
SLC25A33,1,1,1,1,1
TMEM211,1,1,1,1,1
PIK3CD,1,1,1,1,1
PIK3CD-AS1,1,1,1,1,1
PIK3CD-AS2,1,1,1,1,1
CLSTN1,1,1,1,1,1
AL357141.1,1,1,1,1,1
CTNNBIP1,1,1,1,1,1
RP11-84A14.5,1,1,1,1,1
LZIC,1,1,1,1,1
NMNAT1,1,1,1,1,1
RBP7,1,1,1,1,1
UBE4B,1,1,1,1,1
KIF1B,1,1,1,1,1
PGD,1,1,1,1,1
RP4-736L21.3,1,1,1,1,1
APITD1-CORT,1,1,1,1,1
APITD1,1,1,1,1,1
CORT,1,1,1,1,1
DFFA,1,1,1,1,1
RP5-1113E3.3,1,1,1,1,1
PEX14,1,1,1,1,1
CASZ1,1,1,1,1,1
RP4-734G22.3,1,1,1,1,1
C1orf127,1,1,1,1,1
TARDBP,1,1,1,1,1
RP4-635E18.9,1,1,1,1,1
MASP2,1,1,1,1,1
RP4-635E18.8,1,1,1,1,1
SRM,1,1,1,1,1
EXOSC11,1,1,1,1,1
RP4-635E18.7,1,1,1,1,1
RP4-635E18.6,1,1,1,1,1
MTOR,1,1,1,1,1
MTOR-AS1,1,1,1,1,1
ANGPTL7,1,1,1,1,1
UBIAD1,1,1,1,1,1
PTCHD2,1,1,1,1,1
RP1-69M21.2,1,1,1,1,1
FBXO2,1,1,1,1,1
FBXO44,1,1,1,1,1
FBXO6,1,1,1,1,1
MAD2L2,1,1,1,1,1
DRAXIN,1,1,1,1,1
AGTRAP,1,1,1,1,1
C1orf167,1,1,1,1,1
RP11-56N19.5,1,1,1,1,1
MTHFR,1,1,1,1,1
CLCN6,1,1,1,1,1
NPPA-AS1,1,1,1,1,1
NPPA,1,1,1,1,1
NPPB,1,1,1,1,1
KIAA2113,1,1,1,1,1
PLOD1,1,1,1,1,1
MFN2,1,1,1,1,1
MIIP,1,1,1,1,1
TNFRSF8,1,1,1,1,1
TNFRSF1B,1,1,1,1,1
VPS13D,1,1,1,1,1
RP5-888M11.2,1,1,1,1,1
DHRS3,1,1,1,1,1
RP11-474O21.5,1,1,1,1,1
AADACL4,1,1,1,1,1
AADACL3,1,1,1,1,1
C1orf158,1,1,1,1,1
PRAMEF12,1,1,1,1,1
PRAMEF1,1,1,1,1,1
RP5-845O24.8,1,1,1,1,1
PRAMEF11,1,1,1,1,1
HNRNPCL1,1,1,1,1,1
PRAMEF2,1,1,1,1,1
PRAMEF4,1,1,1,1,1
PRAMEF11,1,1,1,1,1
PRAMEF7,1,1,1,1,1
PRAMEF6,1,1,1,1,1
PRAMEF27,1,1,1,1,1
PRAMEF26,1,1,1,1,1
PRAMEF25,1,1,1,1,1
HNRNPCL3,1,1,1,1,1
HNRNPCL2,1,1,1,1,1
RP13-221M14.2,1,1,1,1,1
HNRNPCL4,1,1,1,1,1
PRAMEF9,1,1,1,1,1
PRAMEF18,1,1,1,1,1
PRAMEF5,1,1,1,1,1
PRAMEF8,1,1,1,1,1
PRAMEF15,1,1,1,1,1
RP11-219C24.11,1,1,1,1,1
PRAMEF14,1,1,1,1,1
PRAMEF19,1,1,1,1,1
PRAMEF17,1,1,1,1,1
PRAMEF21,1,1,1,1,1
LRRC38,1,1,1,1,1
RP4-597A16.2,1,1,1,1,1
PDPN,1,1,1,1,1
CTA-521D8.2,1,1,1,1,1
PRDM2,1,1,1,1,1
RP11-344F13.1,1,1,1,1,1
RP4-714D23.1,1,1,1,1,1
KAZN,1,1,1,1,1
TMEM51-AS1,1,1,1,1,1
TMEM51,1,1,1,1,1
C1orf195,1,1,1,1,1
FHAD1,1,1,1,1,1
RP3-467K16.2,1,1,1,1,1
RP3-467K16.7,1,1,1,1,1
RP3-467K16.4,1,1,1,1,1
EFHD2,1,1,1,1,1
CTRC,1,1,1,1,1
CELA2A,1,1,1,1,1
CELA2B,1,1,1,1,1
CASP9,1,1,1,1,1
DNAJC16,1,1,1,1,1
RP4-681D5.8,1,1,1,1,1
AGMAT,1,1,1,1,1
RP4-681D5.2,1,1,1,1,1
DDI2,1,1,1,1,1
RSC1A1,1,1,1,1,1
RP4-681D5.9,1,1,1,1,1
PLEKHM2,1,1,1,1,1
RP11-288I21.1,1,1,1,1,1
SLC25A34,1,1,1,1,1
RP11-169K16.4,1,1,1,1,1
TMEM82,1,1,1,1,1
FBLIM1,1,1,1,1,1
UQCRHL,1,1,1,1,1
FLJ37453,1,1,1,1,1
SPEN,1,1,1,1,1
ZBTB17,1,1,1,1,1
C1orf64,1,1,1,1,1
RP11-5P18.5,1,1,1,1,1
HSPB7,1,1,1,1,1
CLCNKA,1,1,1,1,1
CLCNKB,1,1,1,1,1
FAM131C,1,1,1,1,1
EPHA2,1,1,1,1,1
RP11-276H7.2,1,1,1,1,1
RP11-276H7.3,1,1,1,1,1
ARHGEF19-AS1,1,1,1,1,1
ARHGEF19,1,1,1,1,1
RSG1,1,1,1,1,1
FBXO42,1,1,1,1,1
SZRD1,1,1,1,1,1
SPATA21,1,1,1,1,1
NECAP2,1,1,1,1,1
RP4-798A11.2,1,1,1,1,1
RP4-798A11.7,1,1,1,1,1
RP4-798A11.4,1,1,1,1,1
RP5-875O13.1,1,1,1,1,1
FAM231C,1,1,1,1,1
NBPF1,1,1,1,1,1
RP5-1182A14.5,1,1,1,1,1
RP1-163M9.8,1,1,1,1,1
FAM231A,1,1,1,1,1
RP1-163M9.7,1,1,1,1,1
FAM231C-1,1,1,1,1,1
RP5-1182A14.7,1,1,1,1,1
CROCC,1,1,1,1,1
RP11-118M9.1,1,1,1,1,1
RP11-118M9.2,1,1,1,1,1
RP11-118M9.3,1,1,1,1,1
RP11-118M9.4,1,1,1,1,1
RP11-118M9.6,1,1,1,1,1
MFAP2,1,1,1,1,1
RP1-37C11.3,1,1,1,1,1
ATP13A2,1,1,1,1,1
SDHB,1,1,1,1,1
PADI2,1,1,1,1,1
RP11-381J14.1,1,1,1,1,1
RP11-381J14.4,1,1,1,1,1
PADI1,1,1,1,1,1
PADI3,1,1,1,1,1
PADI4,1,1,1,1,1
AC114824.2,1,1,1,1,1
PADI6,1,1,1,1,1
RP1-21B21.4,1,1,1,1,1
RCC2,1,1,1,1,1
ARHGEF11L,1,1,1,1,1
RP11-473A11.2,1,1,1,1,1
ACTL8,1,1,1,1,1
RP11-174G17.2,1,1,1,1,1
IGSF21,1,1,1,1,1
RP11-174G17,1,1,1,1,1
RP11-422P22.1,1,1,1,1,1
KLHDC7A,1,1,1,1,1
PAX7,1,1,1,1,1
TAS1R2,1,1,1,1,1
RP13-279N23.2,1,1,1,1,1
ALDH4A1,1,1,1,1,1
IFFO2,1,1,1,1,1
UBR4,1,1,1,1,1
RP1-43E13.2,1,1,1,1,1
EMC1,1,1,1,1,1
MRTO4,1,1,1,1,1
AKR7A3,1,1,1,1,1
AKR7A2,1,1,1,1,1
PQLC2,1,1,1,1,1
CAPZB,1,1,1,1,1
RP5-1156L3.1,1,1,1,1,1
MINOS1,1,1,1,1,1
MINOS1-NBL1,1,1,1,1,1
NBL1,1,1,1,1,1
HTR6,1,1,1,1,1
TMCO4,1,1,1,1,1
RNF186,1,1,1,1,1
RP11-91K11.2,1,1,1,1,1
OTUD3,1,1,1,1,1
PLA2G2E,1,1,1,1,1
PLA2G2A,1,1,1,1,1
PLA2G5,1,1,1,1,1
PLA2G2D,1,1,1,1,1
PLA2G2F,1,1,1,1,1
RP3-341N1.2,1,1,1,1,1
PLA2G2C,1,1,1,1,1
UBXN11-AS1,1,1,1,1,1
UBXN11,1,1,1,1,1
RP3-341N1.6,1,1,1,1,1
VWA5B1,1,1,1,1,1
RP4-745E8.2,1,1,1,1,1
LINC11141,1,1,1,1,1
RP4-749H3.2,1,1,1,1,1
CAMK2N1,1,1,1,1,1
MUL1,1,1,1,1,1
FAM43B,1,1,1,1,1
CDA,1,1,1,1,1
PINK1,1,1,1,1,1
PINK1-AS,1,1,1,1,1
DDOST,1,1,1,1,1
KIF17,1,1,1,1,1
SH2D5,1,1,1,1,1
RP5-931J4.2,1,1,1,1,1
HP1BP3,1,1,1,1,1
EIF4G3,1,1,1,1,1
ECE1,1,1,1,1,1
RP3-329E21.2,1,1,1,1,1
RP5-1171N3.1,1,1,1,1,1
RP11-293F5.1,1,1,1,1,1
NBPF3,1,1,1,1,1
ALPL,1,1,1,1,1
RP11-63N8.3,1,1,1,1,1
RAP1GAP,1,1,1,1,1
USP48,1,1,1,1,1
LDLRAD2,1,1,1,1,1
HSPG2,1,1,1,1,1
CELA3B,1,1,1,1,1
CELA3A,1,1,1,1,1
RP1-224A6.3,1,1,1,1,1
LINC11339,1,1,1,1,1
CDC42,1,1,1,1,1
RP1-224A6.9,1,1,1,1,1
WNT4,1,1,1,1,1
ZBTB41,1,1,1,1,1
EPHA8,1,1,1,1,1
C1QA,1,1,1,1,1
C1QC,1,1,1,1,1
C1QB,1,1,1,1,1
EPHB2,1,1,1,1,1
RP11-69E9.1,1,1,1,1,1
LACTBL1,1,1,1,1,1
C1orf234,1,1,1,1,1
KDM1A,1,1,1,1,1
RP1-184J9.2,1,1,1,1,1
LUZP1,1,1,1,1,1
HTR1D,1,1,1,1,1
LINC11355,1,1,1,1,1
HNRNPR,1,1,1,1,1
ZNF436,1,1,1,1,1
ZNF436-AS1,1,1,1,1,1
RP5-1157J7.7,1,1,1,1,1
TCEA3,1,1,1,1,1
ASAP3,1,1,1,1,1
E2F2,1,1,1,1,1
RP1-151O5.3,1,1,1,1,1
ID3,1,1,1,1,1
